epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1849.97,1.50165,2.57333,1.79898,1.29675,0.26772,0.32399,0.22406,0.10923,0.14813,0.2124,0.1252,0.03438,1.96327,3.20845,2.26729,1.63998,0.00053225,0.00053225,0.00053225
31,1913.05,1.55254,2.70962,1.92904,1.30863,0.24014,0.31719,0.21347,0.10886,0.15977,0.19849,0.12552,0.03594,1.94324,3.1457,2.27063,1.63253,0.0005075,0.0005075,0.0005075
32,1976.02,1.49178,2.33371,1.74452,1.3044,0.24455,0.29159,0.20185,0.10188,0.15668,0.20524,0.12452,0.04169,1.95563,3.14526,2.24864,1.62363,0.00048275,0.00048275,0.00048275
33,2039.48,1.40225,2.45983,1.79508,1.26756,0.22345,0.29954,0.19318,0.09782,0.15233,0.21748,0.12566,0.04263,1.96956,3.10154,2.28132,1.62835,0.000458,0.000458,0.000458
34,2103.55,1.49992,2.52636,1.77766,1.29369,0.24774,0.29017,0.20082,0.09917,0.18898,0.21319,0.13556,0.04481,1.96043,3.09137,2.28905,1.64498,0.00043325,0.00043325,0.00043325
35,2166.75,1.47262,2.46818,1.87955,1.27322,0.26481,0.23095,0.19388,0.10167,0.21436,0.1911,0.13492,0.04755,1.97455,3.18632,2.28382,1.6489,0.0004085,0.0004085,0.0004085
36,2230.19,1.40277,2.32265,1.62264,1.25118,0.33583,0.22737,0.20868,0.10382,0.25741,0.17524,0.14108,0.04559,1.94932,3.20256,2.28128,1.62924,0.00038375,0.00038375,0.00038375
37,2293.85,1.41858,2.53105,1.72726,1.2609,0.29329,0.22211,0.19616,0.1002,0.25034,0.17673,0.13625,0.0465,1.94131,3.17262,2.25555,1.61385,0.000359,0.000359,0.000359
38,2357.39,1.5834,2.45342,1.80625,1.40004,0.28613,0.24006,0.21381,0.10926,0.23103,0.20383,0.14406,0.04166,1.85411,3.18725,2.1915,1.55563,0.00033425,0.00033425,0.00033425
39,2419.76,1.3453,2.40287,1.57543,1.23649,0.21815,0.2642,0.20817,0.11243,0.20986,0.19409,0.14337,0.04112,1.82782,3.21094,2.18926,1.52621,0.0003095,0.0003095,0.0003095
40,2483.4,1.39962,2.37796,1.59689,1.23427,0.21993,0.2743,0.20513,0.11216,0.21293,0.23647,0.16298,0.04602,1.83011,3.16062,2.19288,1.52168,0.00028475,0.00028475,0.00028475
41,2547.07,1.44275,2.29172,1.93523,1.29224,0.23552,0.24958,0.20748,0.11173,0.21584,0.2248,0.1607,0.04901,1.80766,3.09236,2.16421,1.51043,0.00026,0.00026,0.00026
42,2610.53,1.42494,1.99734,1.87907,1.296,0.23193,0.29305,0.21451,0.11142,0.21773,0.20714,0.15875,0.04955,1.80692,3.08282,2.1504,1.50783,0.00023525,0.00023525,0.00023525
43,2674.3,1.35689,2.12855,1.76853,1.2455,0.26133,0.21553,0.20644,0.11015,0.25563,0.17763,0.15022,0.04861,1.80299,3.07364,2.17175,1.51098,0.0002105,0.0002105,0.0002105
44,2737.51,1.46184,2.32376,1.78334,1.27227,0.19207,0.27848,0.20836,0.11426,0.18772,0.25482,0.15622,0.05127,1.78905,3.0788,2.20535,1.50965,0.00018575,0.00018575,0.00018575
45,2800.85,1.43627,1.9992,1.85172,1.24049,0.19923,0.29039,0.20511,0.11145,0.17832,0.25157,0.15593,0.05147,1.7993,3.08725,2.23326,1.52097,0.000161,0.000161,0.000161
46,2863.43,1.31822,1.87584,1.76075,1.19289,0.21318,0.24332,0.19789,0.11001,0.17346,0.24822,0.14725,0.04545,1.79533,3.08019,2.29697,1.53157,0.00013625,0.00013625,0.00013625
47,2926.26,1.47734,2.11604,1.77787,1.34963,0.24731,0.26394,0.206,0.11063,0.18045,0.21443,0.14623,0.04563,1.80346,3.06231,2.31636,1.52771,0.0001115,0.0001115,0.0001115
48,2989.21,1.37836,1.96892,1.7937,1.24852,0.26934,0.25745,0.20871,0.11355,0.17907,0.21532,0.15225,0.04586,1.80998,3.05399,2.32417,1.52558,8.675e-05,8.675e-05,8.675e-05
49,3051.4,1.34981,2.25712,1.86087,1.20168,0.28746,0.2558,0.20712,0.10931,0.22139,0.18206,0.15088,0.04547,1.81051,3.06153,2.33313,1.53026,6.2e-05,6.2e-05,6.2e-05
50,3113.8,1.35936,1.8538,1.73659,1.23082,0.26671,0.2336,0.21035,0.11043,0.18178,0.2152,0.1511,0.04508,1.83368,3.04324,2.33075,1.54054,3.725e-05,3.725e-05,3.725e-05
